epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1718.13,1.39984,0.5767,1.47981,0.94966,0.87819,0.93328,0.56574,1.74754,0.80216,1.47335,0.000266532,0.000266532,0.000266532
68,1741.1,1.39526,0.57492,1.47314,0.91403,0.88102,0.92807,0.56369,1.7255,0.82117,1.47106,0.000253024,0.000253024,0.000253024
69,1764.15,1.42271,0.57284,1.45775,0.93041,0.87119,0.92485,0.58317,1.63474,0.80159,1.46077,0.000239766,0.000239766,0.000239766
70,1787.14,1.40419,0.57502,1.46002,0.95114,0.86686,0.92944,0.56953,1.70401,0.81914,1.46934,0.000226769,0.000226769,0.000226769
71,1810.25,1.38449,0.57407,1.47242,0.9474,0.86742,0.92538,0.566,1.68953,0.83719,1.46712,0.000214046,0.000214046,0.000214046
72,1833.29,1.3672,0.56753,1.45553,0.94773,0.87819,0.9288,0.57257,1.70258,0.81603,1.46186,0.000201611,0.000201611,0.000201611
73,1856.26,1.38961,0.56785,1.45588,0.93323,0.87114,0.92453,0.56806,1.69233,0.8117,1.46448,0.000189475,0.000189475,0.000189475
74,1879.46,1.34502,0.54876,1.45305,0.92488,0.86119,0.9192,0.56937,1.69782,0.8412,1.46366,0.000177651,0.000177651,0.000177651
75,1902.51,1.42526,0.59011,1.45508,0.91648,0.85552,0.91755,0.55387,1.72202,0.8584,1.47172,0.000166149,0.000166149,0.000166149
76,1925.48,1.34724,0.55167,1.44852,0.92208,0.87819,0.92124,0.57411,1.69322,0.86857,1.46793,0.000154982,0.000154982,0.000154982
77,1948.46,1.37582,0.56468,1.45461,0.93094,0.88669,0.93069,0.57422,1.72515,0.84556,1.469,0.000144161,0.000144161,0.000144161
78,1971.8,1.36706,0.55454,1.46266,0.93116,0.88669,0.93284,0.5904,1.67884,0.79051,1.46262,0.000133695,0.000133695,0.000133695
79,1995.01,1.37582,0.55196,1.46104,0.93213,0.88102,0.9324,0.57607,1.71978,0.79325,1.46883,0.000123596,0.000123596,0.000123596
80,2018.59,1.37399,0.55866,1.46263,0.92896,0.88904,0.9332,0.58212,1.66097,0.79615,1.464,0.000113873,0.000113873,0.000113873
81,2041.72,1.36176,0.55077,1.45787,0.92854,0.88349,0.93417,0.57382,1.67676,0.80104,1.4655,0.000104537,0.000104537,0.000104537
82,2064.77,1.37309,0.55638,1.46563,0.93125,0.88254,0.932,0.57167,1.69795,0.81153,1.4679,9.55951e-05,9.55951e-05,9.55951e-05
83,2087.75,1.35215,0.55648,1.46365,0.92915,0.89518,0.93215,0.55937,1.72371,0.84617,1.46839,8.70577e-05,8.70577e-05,8.70577e-05
84,2110.96,1.3955,0.56859,1.4655,0.92677,0.89235,0.93134,0.5723,1.66445,0.81928,1.46194,7.89327e-05,7.89327e-05,7.89327e-05
85,2134.34,1.36821,0.55602,1.47361,0.91948,0.87346,0.92754,0.56525,1.69852,0.82092,1.46468,7.12282e-05,7.12282e-05,7.12282e-05
86,2157.77,1.36705,0.55276,1.454,0.92314,0.88462,0.93047,0.564,1.73512,0.82651,1.46996,6.39518e-05,6.39518e-05,6.39518e-05
